symbol	name	alternative_symbols	stable_id	version	unversioned_stable_id	type	so_term	genome_uuid	metadata_name_accession_id	metadata_name_value	metadata_name_url	metadata_name_source_id	metadata_name_source_name	metadata_name_source_description	metadata_name_source_url	metadata_name_source_release	slice_region_assembly_accession_id	slice_region_assembly_organism_scientific_name	slice_region_assembly_organism_species_taxon_id	slice_region_name	slice_region_topology	slice_region_sequence_checksum	slice_location_end	slice_location_length	slice_location_start	slice_strand_code	slice_strand_value
BRCA2	BRCA2 DNA repair associated	['BRCC2', 'FACD', 'FAD', 'FAD1', 'FANCD', 'FANCD1', 'XRCC11']	ENSG00000139618.19	19	ENSG00000139618	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:1101	BRCA2 DNA repair associated	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1101	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	13	linear	17dab79b963ccd8e7377cef59a54fe1c	32400268	85183	32315086	forward	1
CDK2	cyclin dependent kinase 2	[]	ENSG00000123374.11	11	ENSG00000123374	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:1771	cyclin dependent kinase 2	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1771	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	12	linear	e81e16d3f44337034695a29b97708fce	55972789	6009	55966781	forward	1
CDKN1A	cyclin dependent kinase inhibitor 1A	['CAP20', 'CDKN1', 'CIP1', 'P21', 'P21CIP1', 'P21CIP1/WAF1', 'SDI1', 'WAF1']	ENSG00000124762.15	15	ENSG00000124762	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:1784	cyclin dependent kinase inhibitor 1A	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1784	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	6	linear	6a48dfa97e854e3c6f186c8ff973f7dd	36687397	10938	36676460	forward	1
CFTR	CF transmembrane conductance regulator	['ABC35', 'ABCC7', 'CF', 'CFTR/MRP', 'DJ760C5.1', 'MRP7', 'TNR-CFTR']	ENSG00000001626.18	18	ENSG00000001626	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:1884	CF transmembrane conductance regulator	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1884	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	7	linear	94eef2b96fd5a7c8db162c8c74378039	117715971	428852	117287120	forward	1
CLTC	clathrin heavy chain	['CLTCL2', 'HC']	ENSG00000141367.14	14	ENSG00000141367	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:2092	clathrin heavy chain	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2092	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	17	linear	a8499ca51d6fb77332c2d242923994eb	59696956	77277	59619680	forward	1
CRP	C-reactive protein	['PTX1']	ENSG00000132693.12	12	ENSG00000132693	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:2367	C-reactive protein	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2367	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	1	linear	2648ae1bacce4ec4b6cf337dcae37816	159714589	2301	159712289	reverse	-1
CTNNB1	catenin beta 1	['ARMADILLO', 'BETA-CATENIN', 'CTNNB']	ENSG00000168036.19	19	ENSG00000168036	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:2514	catenin beta 1	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2514	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	3	linear	a48af509898d3736ba95dc0912c0b461	41260096	65356	41194741	forward	1
CYP1A1	cytochrome P450 family 1 subfamily A member 1	['CP11', 'CYP1', 'P1-450', 'P450-C', 'P450DX']	ENSG00000140465.15	15	ENSG00000140465	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:2595	cytochrome P450 family 1 subfamily A member 1	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2595	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	15	linear	f036bd11158407596ca6bf3581454706	74725536	5995	74719542	reverse	-1
EGFR	epidermal growth factor receptor	['ERBB', 'ERBB1', 'ERRP']	ENSG00000146648.21	21	ENSG00000146648	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:3236	epidermal growth factor receptor	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3236	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	7	linear	94eef2b96fd5a7c8db162c8c74378039	55211628	192612	55019017	forward	1
ESR1	estrogen receptor 1	['ER', 'ER-ALPHA', 'ERA', 'ESR', 'NR3A1']	ENSG00000091831.25	25	ENSG00000091831	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:3467	estrogen receptor 1	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3467	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	6	linear	6a48dfa97e854e3c6f186c8ff973f7dd	152129619	472929	151656691	forward	1
F5	coagulation factor V	[]	ENSG00000198734.12	12	ENSG00000198734	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:3542	coagulation factor V	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3542	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	1	linear	2648ae1bacce4ec4b6cf337dcae37816	169586588	74638	169511951	reverse	-1
F8	coagulation factor VIII	['DXS1253E', 'F8C', 'FVIII', 'HEMA']	ENSG00000185010.15	15	ENSG00000185010	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:3546	coagulation factor VIII	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3546	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	X	linear	49527016a48497d9d1cbd8e4a9049bd3	155026940	191153	154835788	reverse	-1
FLI1	Fli-1 proto-oncogene, ETS transcription factor	['EWSR2', 'FLI-1', 'SIC-1']	ENSG00000151702.18	18	ENSG00000151702	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:3749	Fli-1 proto-oncogene, ETS transcription factor	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3749	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	11	linear	1511375dc2dd1b633af8cf439ae90cec	128813267	126733	128686535	forward	1
FOXP3	forkhead box P3	['AIID', 'DIETER', 'IPEX', 'JM2', 'PIDX', 'SCURFIN', 'XPID']	ENSG00000049768.18	18	ENSG00000049768	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:6106	forkhead box P3	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6106	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	X	linear	49527016a48497d9d1cbd8e4a9049bd3	49264800	14363	49250438	reverse	-1
G6PD	glucose-6-phosphate dehydrogenase	['G6PD1']	ENSG00000160211.20	20	ENSG00000160211	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4057	glucose-6-phosphate dehydrogenase	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4057	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	X	linear	49527016a48497d9d1cbd8e4a9049bd3	154547572	29748	154517825	reverse	-1
GAPDH	glyceraldehyde-3-phosphate dehydrogenase	['GAPD']	ENSG00000111640.15	15	ENSG00000111640	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4141	glyceraldehyde-3-phosphate dehydrogenase	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4141	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	12	linear	e81e16d3f44337034695a29b97708fce	6538374	3863	6534512	forward	1
GRB2	growth factor receptor bound protein 2	['NCKAP2']	ENSG00000177885.15	15	ENSG00000177885	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4566	growth factor receptor bound protein 2	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4566	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	17	linear	a8499ca51d6fb77332c2d242923994eb	75405709	87634	75318076	reverse	-1
HBB	hemoglobin subunit beta	['BETA-GLOBIN', 'CD113T-C']	ENSG00000244734.4	4	ENSG00000244734	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4827	hemoglobin subunit beta	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4827	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	11	linear	1511375dc2dd1b633af8cf439ae90cec	5229395	3932	5225464	reverse	-1
HLA-A	major histocompatibility complex, class I, A	[]	ENSG00000227715.11	11	ENSG00000227715	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4931	major histocompatibility complex, class I, A	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4931	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_MCF_CTG1	linear	ad357767de6beef959952d39200522ea	1289979	3344	1286636	forward	1
HLA-A	major histocompatibility complex, class I, A	[]	ENSG00000229215.9	9	ENSG00000229215	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4931	major histocompatibility complex, class I, A	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4931	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_APD_CTG1	linear	740358c10fbb870c86a7e44226bbdb3a	1267669	120322	1147348	forward	1
HLA-A	major histocompatibility complex, class I, A	[]	ENSG00000223980.10	10	ENSG00000223980	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4931	major histocompatibility complex, class I, A	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4931	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_SSTO_CTG1	linear	a80b1b3c21ac7e7b7acf75178ae3d83c	1307767	68695	1239073	forward	1
HLA-A	major histocompatibility complex, class I, A	[]	ENSG00000235657.9	9	ENSG00000235657	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4931	major histocompatibility complex, class I, A	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4931	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_DBB_CTG1	linear	0c2ee784f397289b1713ad133fd93d39	1265390	120436	1144955	forward	1
HLA-A	major histocompatibility complex, class I, A	[]	ENSG00000231834.10	10	ENSG00000231834	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4931	major histocompatibility complex, class I, A	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4931	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_MANN_CTG1	linear	a5cdd062ee0d61ea6b3c5166e79b472e	1200442	4642	1195801	forward	1
HLA-A	major histocompatibility complex, class I, A	[]	ENSG00000206503.15	15	ENSG00000206503	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4931	major histocompatibility complex, class I, A	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4931	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	6	linear	6a48dfa97e854e3c6f186c8ff973f7dd	29949572	8313	29941260	forward	1
HLA-A	major histocompatibility complex, class I, A	[]	ENSG00000224320.9	9	ENSG00000224320	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4931	major histocompatibility complex, class I, A	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4931	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_COX_CTG1	linear	e51d466e4a702acf3c9c5ffdc1ee0c51	1489345	120324	1369022	forward	1
HLA-A	major histocompatibility complex, class I, A	[]	ENSG00000206505.13	13	ENSG00000206505	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4931	major histocompatibility complex, class I, A	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4931	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_QBL_CTG1	linear	bceeb4190283066a6d0891562b41d164	1264879	68662	1196218	forward	1
HLA-B	major histocompatibility complex, class I, B	['AS']	ENSG00000234745.14	14	ENSG00000234745	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4932	major histocompatibility complex, class I, B	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4932	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	6	linear	6a48dfa97e854e3c6f186c8ff973f7dd	31367067	13196	31353872	reverse	-1
HLA-B	major histocompatibility complex, class I, B	['AS']	ENSG00000206450.11	11	ENSG00000206450	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4932	major histocompatibility complex, class I, B	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4932	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_QBL_CTG1	linear	bceeb4190283066a6d0891562b41d164	2612898	87978	2524921	reverse	-1
HLA-B	major histocompatibility complex, class I, B	['AS']	ENSG00000223532.10	10	ENSG00000223532	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4932	major histocompatibility complex, class I, B	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4932	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_COX_CTG1	linear	e51d466e4a702acf3c9c5ffdc1ee0c51	2837604	87188	2750417	reverse	-1
HLA-B	major histocompatibility complex, class I, B	['AS']	ENSG00000224608.10	10	ENSG00000224608	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4932	major histocompatibility complex, class I, B	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4932	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_MANN_CTG1	linear	a5cdd062ee0d61ea6b3c5166e79b472e	2665857	87317	2578541	reverse	-1
HLA-B	major histocompatibility complex, class I, B	['AS']	ENSG00000232126.8	8	ENSG00000232126	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4932	major histocompatibility complex, class I, B	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4932	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_MCF_CTG1	linear	ad357767de6beef959952d39200522ea	2699230	87012	2612219	reverse	-1
HLA-B	major histocompatibility complex, class I, B	['AS']	ENSG00000228964.10	10	ENSG00000228964	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4932	major histocompatibility complex, class I, B	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4932	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_SSTO_CTG1	linear	a80b1b3c21ac7e7b7acf75178ae3d83c	2659467	88021	2571447	reverse	-1
HLA-C	major histocompatibility complex, class I, C	['D6S204', 'HLA-JY3', 'PSORS1']	ENSG00000228299.9	9	ENSG00000228299	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4933	major histocompatibility complex, class I, C	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4933	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_DBB_CTG1	linear	0c2ee784f397289b1713ad133fd93d39	2529920	3372	2526549	reverse	-1
HLA-C	major histocompatibility complex, class I, C	['D6S204', 'HLA-JY3', 'PSORS1']	ENSG00000233841.11	11	ENSG00000233841	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4933	major histocompatibility complex, class I, C	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4933	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_COX_CTG1	linear	e51d466e4a702acf3c9c5ffdc1ee0c51	2753056	3382	2749675	reverse	-1
HLA-C	major histocompatibility complex, class I, C	['D6S204', 'HLA-JY3', 'PSORS1']	ENSG00000204525.18	18	ENSG00000204525	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4933	major histocompatibility complex, class I, C	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4933	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	6	linear	6a48dfa97e854e3c6f186c8ff973f7dd	31272130	3382	31268749	reverse	-1
HLA-C	major histocompatibility complex, class I, C	['D6S204', 'HLA-JY3', 'PSORS1']	ENSG00000237022.10	10	ENSG00000237022	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4933	major histocompatibility complex, class I, C	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4933	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_MANN_CTG1	linear	a5cdd062ee0d61ea6b3c5166e79b472e	2581172	3372	2577801	reverse	-1
HLA-C	major histocompatibility complex, class I, C	['D6S204', 'HLA-JY3', 'PSORS1']	ENSG00000225691.7	7	ENSG00000225691	Gene	protein_coding	2b5fb047-5992-4dfb-b2fa-1fb4e18d1abb	HGNC:4933	major histocompatibility complex, class I, C	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4933	HGNC	HGNC Symbol	HUGO Genome Nomenclature Committee	https://www.genenames.org	1	GCA_000001405.29	Homo sapiens	9606	HSCHR6_MHC_MCF_CTG1	linear	ad357767de6beef959952d39200522ea	2614849	3372	2611478	reverse	-1
